	dxy	population
0	0.007083931976297735	GHcol
1	0.0070456458959272114	GHcol
2	0.007408596339256043	GHcol
3	0.007370358216397466	GHcol
4	0.007050937208078628	GHcol
5	0.007036717805786527	GHcol
6	0.00704881908463433	GHcol
7	0.007024816349905169	GHcol
8	0.007224871110989477	GHcol
9	0.007201443866403672	GHcol
10	0.008124498084672888	GHgam
11	0.008125768958739467	GHgam
12	0.007076906200797591	GHcol
13	0.0070498981286531235	GHcol
14	0.008118007834722812	GHgam
15	0.00813195547778055	GHgam
16	0.007030595230094707	GHcol
17	0.00705515746912991	GHcol
18	0.0074339258984823875	GHcol
19	0.007393106062897364	GHcol
20	0.007057475415540651	GHcol
21	0.007084027891321628	GHcol
22	0.007216790270226512	GHcol
23	0.007195385234061113	GHcol
24	0.0072272609936681375	GHcol
25	0.00721479204056208	GHcol
26	0.007258673163993014	GHcol
27	0.007166370939333555	GHcol
28	0.007925386487990193	GHgam
29	0.007985261441655242	GHgam
30	0.007972336892185695	GHgam
31	0.008026448951498523	GHgam
32	0.00702931636310947	GHcol
33	0.007035542846743841	GHcol
34	0.007250632287823338	GHcol
35	0.007205208531091463	GHcol
36	0.007170007717322823	GHcol
37	0.007243838306964268	GHcol
38	0.007231753013953781	GHcol
39	0.007273524006859075	GHcol
40	0.00721644657472423	GHcol
41	0.007234302755005597	GHcol
42	0.008118463431086301	GHgam
43	0.008117392379986167	GHgam
44	0.007216630411853358	GHcol
45	0.007177920706793975	GHcol
46	0.007197591279610646	GHcol
47	0.0072518152397846826	GHcol
48	0.007244549676724807	GHcol
49	0.007196088610902993	GHcol
50	0.00724207187194091	GHcol
51	0.007199213842098166	GHcol
52	0.007283395261401371	GHcol
53	0.007207246725349183	GHcol
54	0.0074163015128420945	GHcol
55	0.007412800614470009	GHcol
56	0.007856207777007544	GHgam
57	0.007855384506385798	GHgam
58	0.00814205053404526	GHgam
59	0.008098888773293523	GHgam
60	0.007863960908105542	GHgam
61	0.007877468940637105	GHgam
62	0.007072733897258256	GHcol
63	0.007041633450761031	GHcol
64	0.007041537535737138	GHcol
65	0.007038100580714315	GHcol
66	0.007077985244816384	GHcol
67	0.007055908803483736	GHcol
68	0.007207478519990257	GHcol
69	0.007203394138556158	GHcol
70	0.0070412258119094875	GHcol
71	0.00704726845841473	GHcol
72	0.007975845783476437	GHgam
73	0.007992926650648005	GHgam
74	0.007231665091848547	GHcol
75	0.0072339350807473415	GHcol
76	0.007071726789507383	GHcol
77	0.007052391919274335	GHcol
78	0.00722693328400317	GHcol
79	0.007272149224849945	GHcol
80	0.007250896054139044	GHcol
81	0.007192795528416009	GHcol
82	0.007405343221362348	GHcol
83	0.007409235772748662	GHcol
84	0.007255228216051532	GHcol
85	0.00719581685166863	GHcol
86	0.007042464714301435	GHcol
87	0.007062167258792738	GHcol
88	0.007054046453436485	GHcol
89	0.007020636053447177	GHcol
90	0.00701354633459777	GHcol
91	0.007011188423593741	GHcol
92	0.00784851059634015	GHgam
93	0.007821838226779308	GHgam
94	0.0070695207439578495	GHcol
95	0.007019940669523954	GHcol
96	0.007072286293813424	GHcol
97	0.007053438991618498	GHcol
98	0.007037796849805321	GHcol
99	0.00707940798433746	GHcol
100	0.007226205928405317	GHcol
101	0.007247762830025213	GHcol
102	0.007087776570172103	GHcol
103	0.007074276530559198	GHcol
104	0.00743251115187997	GHcol
105	0.007411369882030275	GHcol
106	0.0072307139345282765	GHcol
107	0.007214096656638858	GHcol
108	0.008027639896378523	GHgam
109	0.007970962110176566	GHgam
110	0.00704593364099889	GHcol
111	0.007025991308947855	GHcol
112	0.007062175251711396	GHcol
113	0.007067186811709792	GHcol
114	0.00719117296592849	GHcol
115	0.007246947552322125	GHcol
116	0.007221282290512156	GHcol
117	0.007205384375301932	GHcol
